,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
0,11,3.91,68,111,11,36.7,1,353,12.2,89,73.3,0,0,0.0
1,11,3.45,67,105,7,19.4,0,393,9.7,119,73.3,0,0,0.0
2,25,3.44,150,236,22,29.3,3,710,12.1,268,94.3,0,0,0.0
3,24,3.04,121,194,15,18.5,2,742,9.8,281,88.0,0,0,0.0
4,5,3.0,26,41,3,23.1,0,140,10.7,49,62.5,0,0,0.0
5,16,2.94,83,130,12,24.0,6,412,11.4,146,84.2,0,0,0.0
6,5,2.8,26,40,4,20.0,1,135,10.4,34,76.9,0,0,0.0
7,19,2.74,88,140,9,20.0,2,532,9.8,92,67.6,0,0,0.0
8,5,2.6,22,35,0,0.0,0,145,9.0,75,55.0,0,0,0.0
9,13,2.54,57,90,5,13.9,0,270,12.2,126,81.0,0,0,0.0
10,5,2.4,24,36,3,27.3,0,137,8.8,107,66.7,0,0,0.0
11,13,2.38,54,85,7,21.2,0,323,9.6,191,85.7,0,0,0.0
12,7,2.29,22,38,3,25.0,1,189,8.5,34,71.4,0,0,0.0
13,6,2.0,19,31,2,9.1,0,150,8.0,34,84.6,0,0,0.0
14,4,1.75,11,18,2,11.8,0,100,7.0,56,62.5,0,0,0.0
15,7,1.71,23,35,1,4.8,0,215,5.6,48,64.7,0,0,0.0
